Unnamed: 0.1,Unnamed: 0,sentence,Option A,Option B,OP1,OP2,gold_ans,gold_scope_label,OP1_type,OP2_type,OP_rel,relation,comb
105,106.0,All the emails were sent from one account.,not all the emails were sent from the same account,all the emails were sent from the same account,all,one,B,inverse,universal,number,unimported,unimported,4
106,107.0,All the songs were recorded in one studio.,all the songs were recorded in the same studio,not all the songs were recorded in the same studio,all,one,A,inverse,universal,number,unimported,unimported,4
109,110.0,The teacher assigned every project to one group.,not all the projects were assigned to the same group,all the projects were assigned to the same group,every,one,B,inverse,universal,number,unimported,unimported,4
111,112.0,Each photograph was taken with one camera.,not all the photographs were taken with the same camera,all the photographs were taken with the same camera,each,one,B,inverse,universal,number,unimported,unimported,4
112,113.0,All the articles were published in one journal.,all the articles were published in the same journal,not all the articles were published in the same journal,all,one,A,inverse,universal,number,unimported,unimported,4
115,116.0,The chef used every spice in exactly one dish.,not all the spices were used in the same dish,all the spices were used in the same dish,every,exactly one,B,inverse,universal,number,unimported,unimported,4
117,118.0,The musician played every note on one instrument.,not all the notes were played on the same instrument,all the notes were played on the same instrument,every,one,B,inverse,universal,number,unimported,unimported,4
118,119.0,All the data was stored in one database.,all the data was stored in the same database,not all the data was stored in the same database,all,one,A,inverse,universal,number,unimported,unimported,4
121,122.0,The director filmed every scene in one location.,not all the scenes were filmed in the same location,all the scenes were filmed in the same location,every,one,B,inverse,universal,number,unimported,unimported,4
123,124.0,Each piece of jewelry was crafted for one collection.,not all the pieces were crafted for the same collection,all the pieces were crafted for the same collection,each,one,A,inverse,universal,number,unimported,unimported,4
124,125.0,Every car was parked in one garage.,all the cars were parked in the same garage,not all the cars were parked in the same garage,every,one,A,inverse,universal,number,unimported,unimported,4
127,128.0,The musician played every song on one instrument.,not all the songs were played on the same instrument,all the songs were played on the same instrument,every,one,B,inverse,universal,number,unimported,unimported,4
128,129.0,Every chapter was written in one notebook.,all the chapters were written in the same notebook,not all the chapters were written in the same notebook,every,one,A,inverse,universal,number,unimported,unimported,4
131,132.0,The photographer captured each moment with one camera.,not all the moments were captured with the same camera,all the moments were captured with the same camera,each,one,B,inverse,universal,number,unimported,unimported,4
133,134.0,All the clothes were washed in one machine.,not all the clothes were washed in the same machine,all the clothes were washed in the same machine,all,one,B,inverse,universal,number,unimported,unimported,4
134,135.0,The artist painted every portrait in exactly one studio.,all the portraits were painted in the same studio,not all the portraits were painted in the same studio,every,exactly one,A,inverse,universal,number,unimported,unimported,4
137,138.0,The chef prepared each dish with one type of spice.,not all the dishes were prepared with the same type of spice,all the dishes were prepared with the same type of spice,each,one,A,inverse,universal,number,unimported,unimported,4
139,140.0,Every chapter was written by exactly one author.,not all the chapters were written by the same author,all the chapters were written by the same author,every,exactly one,B,inverse,universal,number,unimported,unimported,4
140,141.0,All the cars are parked in one garage.,all the cars are parked in the same garage,not all the cars are parked in the same garage,all,one,B,inverse,universal,number,unimported,unimported,4
143,144.0,The gardener planted every seed in exactly one plot.,not all the seeds were planted in the same plot,all the seeds were planted in the same plot,every,exactly one,B,inverse,universal,number,unimported,unimported,4
144,145.0,Each document was stored in one folder.,all the documents were stored in the same folder,not all the documents were stored in the same folder,each,one,B,inverse,universal,number,unimported,unimported,4
146,147.0,All the photos were taken with one camera.,all the photos were taken with the same camera,not all the photos were taken with the same camera,all,one,B,inverse,universal,number,unimported,unimported,4
148,149.0,The artist painted every canvas with exactly one brush.,all the canvases were painted with the same brush,not all the canvases were painted with the same brush,every,exactly one,A,inverse,universal,number,unimported,unimported,4
151,152.0,The chef used each spice in exactly one dish.,not all the spices were used in the same dish,all the spices were used in the same dish,each,exactly one,B,inverse,universal,number,unimported,unimported,4
153,154.0,All the cars were parked in one garage.,not all the cars were parked in the same garage,all the cars were parked in the same garage,all,one,A,inverse,universal,number,unimported,unimported,4
154,155.0,Every book was placed on one shelf.,all the books were placed on the same shelf,not all the books were placed on the same shelf,every,one,B,inverse,universal,number,unimported,unimported,4
156,157.0,The director filmed each scene in one location.,all the scenes were filmed in the same location,not all the scenes were filmed in the same location,each,one,B,inverse,universal,number,unimported,unimported,4
159,160.0,Every photograph was taken with one camera.,not all the photographs were taken with the same camera,all the photographs were taken with the same camera,every,one,B,inverse,universal,number,unimported,unimported,4
161,162.0,Every article was published in one journal.,not all the articles were published in the same journal,all the articles were published in the same journal,every,one,B,inverse,universal,number,unimported,unimported,4
163,164.0,All the students submitted their assignments to one portal.,not all the assignments were submitted to the same portal,all the assignments were submitted to the same portal,all,one,B,inverse,universal,number,unimported,unimported,4
165,166.0,Every chapter was printed in one book.,not all the chapters were printed in the same book,all the chapters were printed in the same book,every,one,B,inverse,universal,number,unimported,unimported,4
166,167.0,All the files were saved in one folder.,all the files were saved in the same folder,not all the files were saved in the same folder,all,one,A,inverse,universal,number,unimported,unimported,4
168,169.0,Every song was recorded in one studio.,all the songs were recorded in the same studio,not all the songs were recorded in the same studio,every,one,A,inverse,universal,number,unimported,unimported,4
170,171.0,All the keys are kept in one drawer.,all the keys are kept in the same drawer,not all the keys are kept in the same drawer,all,one,A,inverse,universal,number,unimported,unimported,4
173,174.0,The photographer captured each image with one camera.,not all the images were captured with the same camera,all the images were captured with the same camera,each,one,B,inverse,universal,number,unimported,unimported,4
174,175.0,Every letter was delivered to one address.,all the letters were delivered to the same address,not all the letters were delivered to the same address,every,one,A,inverse,universal,number,unimported,unimported,4
176,177.0,All the letters were sent from one post office.,all the letters were sent from the same post office,not all the letters were sent from the same post office,all,one,A,inverse,universal,number,unimported,unimported,4
179,180.0,Each document was printed from one printer.,not all the documents were printed from the same printer,all the documents were printed from the same printer,each,one,B,inverse,universal,number,unimported,unimported,4
181,182.0,All the songs were recorded in one session.,not all the songs were recorded in the same session,all the songs were recorded in the same session,all,one,A,inverse,universal,number,unimported,unimported,4
183,184.0,All the emails were sent to exactly one address.,not all the emails were sent to the same address,all the emails were sent to the same address,all,exactly one,B,inverse,universal,number,unimported,unimported,4
185,186.0,A teacher instructs every student in the class.,"in total, there is more than one teacher instructing the students","in total, there is exactly one teacher instructing the students",a,every,B,surface,indefinite,universal,unimported,unimported,2
186,187.0,A doctor examines all the patients in the clinic.,"in total, there is exactly one doctor examining the patients","in total, there is more than one doctor examining the patients",a,all,A,surface,indefinite,universal,unimported,unimported,2
189,190.0,A manager oversees every project in the company.,"in total, there is more than one manager overseeing the projects","in total, there is exactly one manager overseeing the projects",a,every,B,surface,indefinite,universal,unimported,unimported,2
191,192.0,A conductor leads all the musicians in the orchestra.,"in total, there is more than one conductor leading the musicians","in total, there is exactly one conductor leading the musicians",a,all,B,surface,indefinite,universal,unimported,unimported,2
193,194.0,A pilot flies every plane in the fleet.,"in total, there is more than one pilot flying the planes","in total, there is exactly one pilot flying the planes",a,every,B,surface,indefinite,universal,unimported,unimported,2
194,195.0,A nurse attends to all the patients in the ward.,the same nurse attends to all the patients,different nurses attend to different patients,a,all,A,surface,indefinite,universal,unimported,unimported,2
197,198.0,A teacher grades every assignment.,"in total, there is more than one teacher grading the assignments","in total, there is exactly one teacher grading the assignments",a,every,B,surface,indefinite,universal,unimported,unimported,2
200,201.0,A librarian organizes every book on the shelf.,"in total, there is exactly one librarian organizing the books","in total, there is more than one librarian organizing the books",a,every,A,surface,indefinite,universal,unimported,unimported,2
204,205.0,A coach trains every athlete on the team.,"in total, there is exactly one coach training the athletes","in total, there is more than one coach training the athletes",a,every,A,surface,indefinite,universal,unimported,unimported,2
206,207.0,A chef cooks every dish in the restaurant.,"in total, there is exactly one chef cooking the dishes","in total, there is more than one chef cooking the dishes",a,every,A,surface,indefinite,universal,unimported,unimported,2
210,211.0,One artist was featured in all the galleries.,Every gallery featured the same artist,Not every gallery featured the same artist,one,all,A,surface,number,universal,unimported,unimported,2
212,213.0,Three dishes were served at all the events.,All events served the same three dishes,Not all events served the same three dishes,three,all,A,surface,number,universal,unimported,unimported,2
214,215.0,Two managers oversaw all the departments.,The same two managers oversaw all the departments,Different managers oversaw different departments,two,all,A,surface,number,universal,unimported,unimported,2
216,217.0,Three artists performed at all the festivals this year.,The same three artists performed at all the festivals,Different artists performed at different festivals,three,all,A,surface,number,universal,unimported,unimported,2
219,220.0,One manager oversees every department in the company.,Different managers oversee different departments,The same manager oversees every department,one,every,B,surface,number,universal,unimported,unimported,2
220,221.0,Two directors managed all the projects this quarter.,The same two directors managed all the projects,Different directors managed different projects,two,all,A,surface,number,universal,unimported,unimported,2
227,228.0,Five dishes were served at all events.,Different dishes were served at different events,The same five dishes were served at all events,five,all,B,surface,number,universal,unimported,unimported,2
232,233.0,Two directors are responsible for every film in the series.,The same two directors are responsible for every film,Different directors are responsible for different films,two,every,A,surface,number,universal,unimported,unimported,2
235,236.0,Five volunteers helped at all the events last month.,Different volunteers helped at different events,The same five volunteers helped at all the events,five,all,B,surface,number,universal,unimported,unimported,2
236,237.0,Two of the directors attended every meeting.,The same two directors attended every meeting,Different directors attended different meetings,two,every,A,surface,number,universal,unimported,unimported,2
240,241.0,Two of the authors contributed to every chapter of the book.,The same two authors contributed to every chapter,Different authors contributed to different chapters,two,every,A,surface,number,universal,unimported,unimported,2
245,246.0,Two doctors attended to all patients.,Different doctors attended to different patients,The same two doctors attended to all patients,two,all,B,surface,number,universal,unimported,unimported,2
246,247.0,Five books were recommended to every student.,The same five books were recommended to every student,Different books were recommended to different students,five,every,A,surface,number,universal,unimported,unimported,2
249,250.0,Every musician in the orchestra plays an instrument.,there is exactly one instrument in total,there is more than one instrument in total,every,an,B,surface,universal,indefinite,unimported,unimported,1
250,251.0,Each artist in the gallery has a painting on display.,there is more than one painting in total,there is exactly one painting in total,each,a,A,surface,universal,indefinite,unimported,unimported,1
252,253.0,Every car in the parking lot has a license plate.,there is more than one license plate in total,there is exactly one license plate in total,every,a,A,surface,universal,indefinite,unimported,unimported,1
254,255.0,Each book on the shelf has a unique cover.,there is more than one cover in total,there is exactly one cover in total,each,a,A,surface,universal,indefinite,unimported,unimported,1
256,257.0,Each participant in the study received a questionnaire.,there is more than one questionnaire in total,there is exactly one questionnaire in total,each,a,A,surface,universal,indefinite,unimported,unimported,1
258,259.0,Every house on the street has a mailbox.,there is more than one mailbox in total,there is exactly one mailbox in total,every,a,A,surface,universal,indefinite,unimported,unimported,1
260,261.0,Each student in the school has a locker.,there is more than one locker in total,there is exactly one locker in total,each,a,A,surface,universal,indefinite,unimported,unimported,1
263,264.0,Every bird in the aviary has a perch.,there is exactly one perch in total,there is more than one perch in total,every,a,B,surface,universal,indefinite,unimported,unimported,1
264,265.0,Each member of the team has a task to complete.,there is more than one task in total,there is exactly one task in total,each,a,A,surface,universal,indefinite,unimported,unimported,1
267,268.0,Each artist in the gallery has a unique style.,there is exactly one style in total,there is more than one style in total,each,a,B,surface,universal,indefinite,unimported,unimported,1
270,271.0,Every flower in the garden has a color.,there is more than one color in total,there is exactly one color in total,every,a,A,surface,universal,indefinite,unimported,unimported,1
273,274.0,Each employee in the company has a role.,there is exactly one role in total,there is more than one role in total,each,a,B,surface,universal,indefinite,unimported,unimported,1
274,275.0,Every student in the school wears a uniform.,all students wear the same uniform,not all students wear the same uniform,every,a,A,surface,universal,indefinite,unimported,unimported,1
276,277.0,Each room in the hotel has a view.,there is more than one view in total,there is exactly one view in total,each,a,A,surface,universal,indefinite,unimported,unimported,1
284,285.0,Each guest at the party received a gift.,there is more than one gift in total,there is exactly one gift in total,each,a,A,surface,universal,indefinite,unimported,unimported,1
287,288.0,Every book in the library has a different author.,there is exactly one author in total,there is more than one author in total,every,a,B,surface,universal,indefinite,unimported,unimported,1
289,290.0,Each car in the showroom has a different color.,there is exactly one color in total,there is more than one color in total,each,a,B,surface,universal,indefinite,unimported,unimported,1
301,302.0,Every room in the house has a window.,there is exactly one window in total,there is more than one window in total,every,a,B,surface,universal,indefinite,unimported,unimported,1
307,308.0,Every animal in the zoo has a habitat.,there is exactly one habitat in total,there is more than one habitat in total,every,a,B,surface,universal,indefinite,unimported,unimported,1
309,310.0,Each child in the class has a backpack.,there is exactly one backpack in total,there is more than one backpack in total,each,a,B,surface,universal,indefinite,unimported,unimported,1
312,313.0,Each student receives exactly three pencils.,Not all students receive the exact same three pencils,All students receive the exact same three pencils,each,exactly three,A,surface,universal,number,unimported,unimported,1
315,316.0,Every room has exactly two windows.,All rooms have the exact same two windows,Not all rooms have the exact same two windows,every,exactly two,B,surface,universal,number,unimported,unimported,1
317,318.0,Each child gets one balloon.,All children get the same balloon,Not all children get the same balloon,each,one,B,surface,universal,number,unimported,unimported,1
318,319.0,Every participant receives exactly one certificate.,Not all participants receive the exact same certificate,All participants receive the exact same certificate,every,exactly one,A,surface,universal,number,unimported,unimported,1
321,322.0,Each guest is served exactly two dishes.,All guests are served the exact same two dishes,Not all guests are served the exact same two dishes,each,exactly two,B,surface,universal,number,unimported,unimported,1
322,323.0,Each box contains exactly five apples.,Not all boxes contain the exact same five apples,All boxes contain the exact same five apples,each,exactly five,A,surface,universal,number,unimported,unimported,1
327,328.0,Each participant receives exactly two tickets.,All participants receive the exact same two tickets,Not all participants receive the exact same two tickets,each,exactly two,B,surface,universal,number,unimported,unimported,1
332,333.0,Each employee is assigned exactly one task.,Not all employees are assigned the same task,All employees are assigned the same task,each,exactly one,A,surface,universal,number,unimported,unimported,1
334,335.0,Each table is set with exactly four chairs.,Not all tables are set with the exact same four chairs,All tables are set with the exact same four chairs,each,exactly four,A,surface,universal,number,unimported,unimported,1
339,340.0,Each team has exactly five players.,All teams have the exact same five players,Not all teams have the exact same five players,each,exactly five,B,surface,universal,number,unimported,unimported,1
347,348.0,A new lesson is taught every day.,The same lesson is taught every day.,Different lessons are taught each day.,a,every,B,inverse,indefinite,universal,unimported,unimported,3
350,351.0,A new feature is added to the app every update.,Different features are added in different updates.,The same feature is added every update.,a,every,A,inverse,indefinite,universal,unimported,unimported,3
352,353.0,A new chapter is released every month.,Different chapters are released each month.,The same chapter is released every month.,a,every,A,inverse,indefinite,universal,unimported,unimported,3
355,356.0,A new model is launched every year.,The same model is launched every year.,Different models are launched each year.,a,every,B,inverse,indefinite,universal,unimported,unimported,3
358,359.0,A new article is published every day.,Different articles are published each day.,The same article is published every day.,a,every,A,inverse,indefinite,universal,unimported,unimported,3
361,362.0,A new task is assigned every morning.,The same task is assigned every morning.,Different tasks are assigned each morning.,a,every,B,inverse,indefinite,universal,unimported,unimported,3
362,363.0,A new book is added to the library each month.,Different books are added each month.,The same book is added every month.,a,each,A,inverse,indefinite,universal,unimported,unimported,3
366,367.0,A new theme is chosen for each event.,Different themes are chosen for different events.,The same theme is chosen for each event.,a,each,A,inverse,indefinite,universal,unimported,unimported,3
373,374.0,A new book is published every season.,The same book is published every season.,Different books are published each season.,a,every,B,inverse,indefinite,universal,unimported,unimported,3
390,391.0,A new game is released every month.,Different games are released each month.,The same game is released every month.,a,every,A,inverse,indefinite,universal,unimported,unimported,3
409,410.0,The chef serves exactly one dessert to each diner.,Not all diners receive the same dessert,All diners receive the same dessert,exactly one,each,A,inverse,number,universal,unimported,unimported,3
410,411.0,The librarian issues exactly one card to each member.,All members receive the same card,Not all members receive the same card,exactly one,each,B,inverse,number,universal,unimported,unimported,3
412,413.0,Exactly two tickets are given to each attendee.,All attendees receive the same two tickets,Not all attendees receive the same two tickets,exactly two,each,B,inverse,number,universal,unimported,unimported,3
414,415.0,The gardener plants exactly one bush in each corner.,All corners have the same bush,Not all corners have the same bush,exactly one,each,B,inverse,number,universal,unimported,unimported,3
416,417.0,Exactly three prizes are awarded to each winner.,All winners receive the same three prizes,Not all winners receive the same three prizes,exactly three,each,B,inverse,number,universal,unimported,unimported,3
422,423.0,Exactly two chairs are placed at each table.,All tables have the same two chairs,Not all tables have the same two chairs,exactly two,each,B,inverse,number,universal,unimported,unimported,3
435,436.0,Exactly four pencils are distributed to each student.,Not all students receive the same four pencils,All students receive the same four pencils,exactly four,each,A,inverse,number,universal,unimported,unimported,3
456,457.0,Exactly two keys are given to each tenant.,All tenants receive the same two keys,Not all tenants receive the same two keys,exactly two,each,B,inverse,number,universal,unimported,unimported,3
461,462.0,Exactly three ornaments are hung on each tree.,Not all trees have the same three ornaments,All trees have the same three ornaments,exactly three,each,A,inverse,number,universal,unimported,unimported,3
470,471.0,The coach assigns exactly three drills to each player.,All players perform the same three drills.,Not all players perform the same three drills.,exactly three,each,A,inverse,number,universal,unimported,unimported,3
497,498.0,Every participant registered through one website.,not all the participants registered through the same website,all the participants registered through the same website,every,one,B,inverse,universal,number,unimported,unimported,4
498,499.0,Every athlete trained at one facility.,all the athletes trained at the same facility,not all the athletes trained at the same facility,every,one,A,inverse,universal,number,unimported,unimported,4
501,502.0,The teacher graded all the exams with one rubric.,not all the exams were graded with the same rubric,all the exams were graded with the same rubric,all,one,B,inverse,universal,number,unimported,unimported,4
502,503.0,All the reports were compiled into one document.,all the reports were compiled into the same document,not all the reports were compiled into the same document,all,one,A,inverse,universal,number,unimported,unimported,4
505,506.0,The director filmed every scene with one camera.,not all the scenes were filmed with the same camera,all the scenes were filmed with the same camera,every,one,B,inverse,universal,number,unimported,unimported,4
506,507.0,Every chapter was edited by one editor.,all the chapters were edited by the same editor,not all the chapters were edited by the same editor,every,one,A,inverse,universal,number,unimported,unimported,4
509,510.0,The author wrote each book in one genre.,not all the books were written in the same genre,all the books were written in the same genre,each,one,A,inverse,universal,number,unimported,unimported,4
510,511.0,The scientist analyzed each sample in one lab.,all the samples were analyzed in the same lab,not all the samples were analyzed in the same lab,each,one,B,inverse,universal,number,unimported,unimported,4
512,513.0,All the software was installed on one computer.,all the software was installed on the same computer,not all the software was installed on the same computer,all,one,A,inverse,universal,number,unimported,unimported,4
515,516.0,Every car was parked in exactly one garage.,not all the cars were parked in the same garage,all the cars were parked in the same garage,every,exactly one,B,inverse,universal,number,unimported,unimported,4
516,517.0,All the reports were reviewed by exactly one committee.,all the reports were reviewed by the same committee,not all the reports were reviewed by the same committee,all,exactly one,A,inverse,universal,number,unimported,unimported,4
518,519.0,The writer wrote each chapter in one notebook.,all the chapters were written in the same notebook,not all the chapters were written in the same notebook,each,one,B,inverse,universal,number,unimported,unimported,4
520,521.0,Every piece of furniture was crafted in one workshop.,all the pieces of furniture were crafted in the same workshop,not all the pieces of furniture were crafted in the same workshop,every,one,B,inverse,universal,number,unimported,unimported,4
523,524.0,All the data was stored in exactly one database.,not all the data was stored in the same database,all the data was stored in the same database,all,exactly one,B,inverse,universal,number,unimported,unimported,4
524,525.0,Every document was printed from one printer.,all the documents were printed from the same printer,not all the documents were printed from the same printer,every,one,B,inverse,universal,number,unimported,unimported,4
526,527.0,All the clothes were designed for one fashion show.,all the clothes were designed for the same fashion show,not all the clothes were designed for the same fashion show,all,one,B,inverse,universal,number,unimported,unimported,4
528,529.0,Every painting was displayed in one gallery.,all the paintings were displayed in the same gallery,not all the paintings were displayed in the same gallery,every,one,B,inverse,universal,number,unimported,unimported,4
530,531.0,All the recipes were written in one cookbook.,all the recipes were written in the same cookbook,not all the recipes were written in the same cookbook,all,one,B,inverse,universal,number,unimported,unimported,4
532,533.0,The musician played every song on exactly one instrument.,all the songs were played on the same instrument,not all the songs were played on the same instrument,every,exactly one,A,inverse,universal,number,unimported,unimported,4
534,535.0,The writer published each article in one magazine.,all the articles were published in the same magazine,not all the articles were published in the same magazine,each,one,B,inverse,universal,number,unimported,unimported,4
537,538.0,Every photo was developed in one lab.,not all the photos were developed in the same lab,all the photos were developed in the same lab,every,one,A,inverse,universal,number,unimported,unimported,4
538,539.0,The scientist stored each sample in one freezer.,all the samples were stored in the same freezer,not all the samples were stored in the same freezer,each,one,B,inverse,universal,number,unimported,unimported,4
540,541.0,Every piece of furniture was made from one type of wood.,all the furniture was made from the same type of wood,not all the furniture was made from the same type of wood,every,one,B,inverse,universal,number,unimported,unimported,4
543,544.0,The athlete wore each uniform for one event.,not all the uniforms were worn for the same event,all the uniforms were worn for the same event,each,one,A,inverse,universal,number,unimported,unimported,4
544,545.0,All the paintings were displayed in one gallery.,all the paintings were displayed in the same gallery,not all the paintings were displayed in the same gallery,all,one,A,inverse,universal,number,unimported,unimported,4
546,547.0,The chef cooked each meal using one stove.,all the meals were cooked using the same stove,not all the meals were cooked using the same stove,each,one,B,inverse,universal,number,unimported,unimported,4
548,549.0,Every book was borrowed from one library.,all the books were borrowed from the same library,not all the books were borrowed from the same library,every,one,B,inverse,universal,number,unimported,unimported,4
550,551.0,Each letter was typed on one keyboard.,all the letters were typed on the same keyboard,not all the letters were typed on the same keyboard,each,one,B,inverse,universal,number,unimported,unimported,4
552,553.0,The writer drafted every chapter in one notebook.,all the chapters were drafted in the same notebook,not all the chapters were drafted in the same notebook,every,one,B,inverse,universal,number,unimported,unimported,4
555,556.0,The teacher graded every paper with one pen.,not all the papers were graded with the same pen,all the papers were graded with the same pen,every,one,A,inverse,universal,number,unimported,unimported,4
557,558.0,All the files were backed up to one server.,not all the files were backed up to the same server,all the files were backed up to the same server,all,one,A,inverse,universal,number,unimported,unimported,4
559,560.0,The chef cooked every meal in one kitchen.,not all the meals were cooked in the same kitchen,all the meals were cooked in the same kitchen,every,one,A,inverse,universal,number,unimported,unimported,4
561,562.0,Each painting was displayed in one gallery.,not all the paintings were displayed in the same gallery,all the paintings were displayed in the same gallery,each,one,A,inverse,universal,number,unimported,unimported,4
563,564.0,The musician composed each song for one album.,not all the songs were composed for the same album,all the songs were composed for the same album,each,one,B,inverse,universal,number,unimported,unimported,4
565,566.0,The chef cooked every dish in exactly one kitchen.,not all the dishes were cooked in the same kitchen,all the dishes were cooked in the same kitchen,every,exactly one,B,inverse,universal,number,unimported,unimported,4
567,568.0,The gardener planted each seed in one plot.,not all the seeds were planted in the same plot,all the seeds were planted in the same plot,each,one,B,inverse,universal,number,unimported,unimported,4
569,570.0,All the photographs were taken with one camera.,not all the photographs were taken with the same camera,all the photographs were taken with the same camera,all,one,B,inverse,universal,number,unimported,unimported,4
570,571.0,The scientist conducted each test in one lab.,all the tests were conducted in the same lab,not all the tests were conducted in the same lab,each,one,A,inverse,universal,number,unimported,unimported,4
573,574.0,Every piece of art was displayed in one gallery.,not all the art was displayed in the same gallery,all the art was displayed in the same gallery,every,one,B,inverse,universal,number,unimported,unimported,4
575,576.0,The athlete trained every day in one gym.,not all the training sessions were in the same gym,all the training sessions were in the same gym,every,one,B,inverse,universal,number,unimported,unimported,4
577,578.0,Each recipe was cooked in one kitchen.,not all the recipes were cooked in the same kitchen,all the recipes were cooked in the same kitchen,each,one,B,inverse,universal,number,unimported,unimported,4
