Unnamed: 0.1,Unnamed: 0,sentence,Option A,Option B,OP1,OP2,gold_ans,gold_scope_label,OP1_type,OP2_type,OP_rel,relation,comb
79,80.0,The instructor gives exactly one lesson to each class.,Not all classes receive the same lesson,All classes receive the same lesson,exactly one,each,A,inverse,number,universal,unimported,unimported,3
82,83.0,The organizer provides exactly one map to each attendee.,All attendees receive the same map,Not all attendees receive the same map,exactly one,each,A,inverse,number,universal,unimported,unimported,3
83,84.0,The organizer provides exactly one map to each attendee.,Not all attendees receive the same map,All attendees receive the same map,exactly one,each,B,inverse,number,universal,unimported,unimported,3
84,85.0,Exactly four chairs are placed at each table.,All tables have the same four chairs,Not all tables have the same four chairs,exactly four,each,B,inverse,number,universal,unimported,unimported,3
85,86.0,Exactly four chairs are placed at each table.,Not all tables have the same four chairs,All tables have the same four chairs,exactly four,each,A,inverse,number,universal,unimported,unimported,3
88,89.0,Exactly two guards are stationed at each entrance.,All entrances have the same two guards,Not all entrances have the same two guards,exactly two,each,B,inverse,number,universal,unimported,unimported,3
89,90.0,Exactly two guards are stationed at each entrance.,Not all entrances have the same two guards,All entrances have the same two guards,exactly two,each,A,inverse,number,universal,unimported,unimported,3
90,91.0,The teacher assigns exactly one book to each student.,All students read the same book,Not all students read the same book,exactly one,each,B,inverse,number,universal,unimported,unimported,3
91,92.0,The teacher assigns exactly one book to each student.,Not all students read the same book,All students read the same book,exactly one,each,A,inverse,number,universal,unimported,unimported,3
96,97.0,The artist painted every canvas with one brush.,all the canvases were painted with the same brush,not all the canvases were painted with the same brush,every,one,A,inverse,universal,number,unimported,unimported,4
97,98.0,The artist painted every canvas with one brush.,not all the canvases were painted with the same brush,all the canvases were painted with the same brush,every,one,B,inverse,universal,number,unimported,unimported,4
98,99.0,All the students submitted their assignments to one teacher.,all the assignments were submitted to the same teacher,not all the assignments were submitted to the same teacher,all,one,A,inverse,universal,number,unimported,unimported,4
99,100.0,All the students submitted their assignments to one teacher.,not all the assignments were submitted to the same teacher,all the assignments were submitted to the same teacher,all,one,B,inverse,universal,number,unimported,unimported,4
100,101.0,The chef cooked each dish using exactly one pan.,all the dishes were cooked using the same pan,not all the dishes were cooked using the same pan,each,exactly one,A,inverse,universal,number,unimported,unimported,4
101,102.0,The chef cooked each dish using exactly one pan.,not all the dishes were cooked using the same pan,all the dishes were cooked using the same pan,each,exactly one,B,inverse,universal,number,unimported,unimported,4
102,103.0,Every chapter was written by one author.,all the chapters were written by the same author,not all the chapters were written by the same author,every,one,A,inverse,universal,number,unimported,unimported,4
103,104.0,Every chapter was written by one author.,not all the chapters were written by the same author,all the chapters were written by the same author,every,one,B,inverse,universal,number,unimported,unimported,4
104,105.0,All the emails were sent from one account.,all the emails were sent from the same account,not all the emails were sent from the same account,all,one,A,inverse,universal,number,unimported,unimported,4
105,106.0,All the emails were sent from one account.,not all the emails were sent from the same account,all the emails were sent from the same account,all,one,B,inverse,universal,number,unimported,unimported,4
106,107.0,All the songs were recorded in one studio.,all the songs were recorded in the same studio,not all the songs were recorded in the same studio,all,one,A,inverse,universal,number,unimported,unimported,4
107,108.0,All the songs were recorded in one studio.,not all the songs were recorded in the same studio,all the songs were recorded in the same studio,all,one,B,inverse,universal,number,unimported,unimported,4
108,109.0,The teacher assigned every project to one group.,all the projects were assigned to the same group,not all the projects were assigned to the same group,every,one,A,inverse,universal,number,unimported,unimported,4
109,110.0,The teacher assigned every project to one group.,not all the projects were assigned to the same group,all the projects were assigned to the same group,every,one,B,inverse,universal,number,unimported,unimported,4
110,111.0,Each photograph was taken with one camera.,all the photographs were taken with the same camera,not all the photographs were taken with the same camera,each,one,A,inverse,universal,number,unimported,unimported,4
111,112.0,Each photograph was taken with one camera.,not all the photographs were taken with the same camera,all the photographs were taken with the same camera,each,one,B,inverse,universal,number,unimported,unimported,4
112,113.0,All the articles were published in one journal.,all the articles were published in the same journal,not all the articles were published in the same journal,all,one,A,inverse,universal,number,unimported,unimported,4
113,114.0,All the articles were published in one journal.,not all the articles were published in the same journal,all the articles were published in the same journal,all,one,B,inverse,universal,number,unimported,unimported,4
114,115.0,The chef used every spice in exactly one dish.,all the spices were used in the same dish,not all the spices were used in the same dish,every,exactly one,A,inverse,universal,number,unimported,unimported,4
115,116.0,The chef used every spice in exactly one dish.,not all the spices were used in the same dish,all the spices were used in the same dish,every,exactly one,B,inverse,universal,number,unimported,unimported,4
116,117.0,The musician played every note on one instrument.,all the notes were played on the same instrument,not all the notes were played on the same instrument,every,one,A,inverse,universal,number,unimported,unimported,4
117,118.0,The musician played every note on one instrument.,not all the notes were played on the same instrument,all the notes were played on the same instrument,every,one,B,inverse,universal,number,unimported,unimported,4
118,119.0,All the data was stored in one database.,all the data was stored in the same database,not all the data was stored in the same database,all,one,A,inverse,universal,number,unimported,unimported,4
119,120.0,All the data was stored in one database.,not all the data was stored in the same database,all the data was stored in the same database,all,one,B,inverse,universal,number,unimported,unimported,4
120,121.0,The director filmed every scene in one location.,all the scenes were filmed in the same location,not all the scenes were filmed in the same location,every,one,A,inverse,universal,number,unimported,unimported,4
121,122.0,The director filmed every scene in one location.,not all the scenes were filmed in the same location,all the scenes were filmed in the same location,every,one,B,inverse,universal,number,unimported,unimported,4
122,123.0,Each piece of jewelry was crafted for one collection.,all the pieces were crafted for the same collection,not all the pieces were crafted for the same collection,each,one,B,inverse,universal,number,unimported,unimported,4
123,124.0,Each piece of jewelry was crafted for one collection.,not all the pieces were crafted for the same collection,all the pieces were crafted for the same collection,each,one,A,inverse,universal,number,unimported,unimported,4
124,125.0,Every car was parked in one garage.,all the cars were parked in the same garage,not all the cars were parked in the same garage,every,one,A,inverse,universal,number,unimported,unimported,4
125,126.0,Every car was parked in one garage.,not all the cars were parked in the same garage,all the cars were parked in the same garage,every,one,B,inverse,universal,number,unimported,unimported,4
126,127.0,The musician played every song on one instrument.,all the songs were played on the same instrument,not all the songs were played on the same instrument,every,one,A,inverse,universal,number,unimported,unimported,4
127,128.0,The musician played every song on one instrument.,not all the songs were played on the same instrument,all the songs were played on the same instrument,every,one,B,inverse,universal,number,unimported,unimported,4
128,129.0,Every chapter was written in one notebook.,all the chapters were written in the same notebook,not all the chapters were written in the same notebook,every,one,A,inverse,universal,number,unimported,unimported,4
129,130.0,Every chapter was written in one notebook.,not all the chapters were written in the same notebook,all the chapters were written in the same notebook,every,one,B,inverse,universal,number,unimported,unimported,4
130,131.0,The photographer captured each moment with one camera.,all the moments were captured with the same camera,not all the moments were captured with the same camera,each,one,A,inverse,universal,number,unimported,unimported,4
131,132.0,The photographer captured each moment with one camera.,not all the moments were captured with the same camera,all the moments were captured with the same camera,each,one,B,inverse,universal,number,unimported,unimported,4
132,133.0,All the clothes were washed in one machine.,all the clothes were washed in the same machine,not all the clothes were washed in the same machine,all,one,A,inverse,universal,number,unimported,unimported,4
133,134.0,All the clothes were washed in one machine.,not all the clothes were washed in the same machine,all the clothes were washed in the same machine,all,one,B,inverse,universal,number,unimported,unimported,4
134,135.0,The artist painted every portrait in exactly one studio.,all the portraits were painted in the same studio,not all the portraits were painted in the same studio,every,exactly one,A,inverse,universal,number,unimported,unimported,4
135,136.0,The artist painted every portrait in exactly one studio.,not all the portraits were painted in the same studio,all the portraits were painted in the same studio,every,exactly one,B,inverse,universal,number,unimported,unimported,4
136,137.0,The chef prepared each dish with one type of spice.,all the dishes were prepared with the same type of spice,not all the dishes were prepared with the same type of spice,each,one,B,inverse,universal,number,unimported,unimported,4
137,138.0,The chef prepared each dish with one type of spice.,not all the dishes were prepared with the same type of spice,all the dishes were prepared with the same type of spice,each,one,A,inverse,universal,number,unimported,unimported,4
138,139.0,Every chapter was written by exactly one author.,all the chapters were written by the same author,not all the chapters were written by the same author,every,exactly one,A,inverse,universal,number,unimported,unimported,4
139,140.0,Every chapter was written by exactly one author.,not all the chapters were written by the same author,all the chapters were written by the same author,every,exactly one,B,inverse,universal,number,unimported,unimported,4
140,141.0,All the cars are parked in one garage.,all the cars are parked in the same garage,not all the cars are parked in the same garage,all,one,B,inverse,universal,number,unimported,unimported,4
141,142.0,All the cars are parked in one garage.,not all the cars are parked in the same garage,all the cars are parked in the same garage,all,one,A,inverse,universal,number,unimported,unimported,4
142,143.0,The gardener planted every seed in exactly one plot.,all the seeds were planted in the same plot,not all the seeds were planted in the same plot,every,exactly one,A,inverse,universal,number,unimported,unimported,4
143,144.0,The gardener planted every seed in exactly one plot.,not all the seeds were planted in the same plot,all the seeds were planted in the same plot,every,exactly one,B,inverse,universal,number,unimported,unimported,4
144,145.0,Each document was stored in one folder.,all the documents were stored in the same folder,not all the documents were stored in the same folder,each,one,B,inverse,universal,number,unimported,unimported,4
145,146.0,Each document was stored in one folder.,not all the documents were stored in the same folder,all the documents were stored in the same folder,each,one,A,inverse,universal,number,unimported,unimported,4
146,147.0,All the photos were taken with one camera.,all the photos were taken with the same camera,not all the photos were taken with the same camera,all,one,B,inverse,universal,number,unimported,unimported,4
147,148.0,All the photos were taken with one camera.,not all the photos were taken with the same camera,all the photos were taken with the same camera,all,one,A,inverse,universal,number,unimported,unimported,4
148,149.0,The artist painted every canvas with exactly one brush.,all the canvases were painted with the same brush,not all the canvases were painted with the same brush,every,exactly one,A,inverse,universal,number,unimported,unimported,4
149,150.0,The artist painted every canvas with exactly one brush.,not all the canvases were painted with the same brush,all the canvases were painted with the same brush,every,exactly one,B,inverse,universal,number,unimported,unimported,4
150,151.0,The chef used each spice in exactly one dish.,all the spices were used in the same dish,not all the spices were used in the same dish,each,exactly one,A,inverse,universal,number,unimported,unimported,4
151,152.0,The chef used each spice in exactly one dish.,not all the spices were used in the same dish,all the spices were used in the same dish,each,exactly one,B,inverse,universal,number,unimported,unimported,4
152,153.0,All the cars were parked in one garage.,all the cars were parked in the same garage,not all the cars were parked in the same garage,all,one,B,inverse,universal,number,unimported,unimported,4
153,154.0,All the cars were parked in one garage.,not all the cars were parked in the same garage,all the cars were parked in the same garage,all,one,A,inverse,universal,number,unimported,unimported,4
154,155.0,Every book was placed on one shelf.,all the books were placed on the same shelf,not all the books were placed on the same shelf,every,one,B,inverse,universal,number,unimported,unimported,4
155,156.0,Every book was placed on one shelf.,not all the books were placed on the same shelf,all the books were placed on the same shelf,every,one,A,inverse,universal,number,unimported,unimported,4
156,157.0,The director filmed each scene in one location.,all the scenes were filmed in the same location,not all the scenes were filmed in the same location,each,one,B,inverse,universal,number,unimported,unimported,4
157,158.0,The director filmed each scene in one location.,not all the scenes were filmed in the same location,all the scenes were filmed in the same location,each,one,A,inverse,universal,number,unimported,unimported,4
158,159.0,Every photograph was taken with one camera.,all the photographs were taken with the same camera,not all the photographs were taken with the same camera,every,one,A,inverse,universal,number,unimported,unimported,4
159,160.0,Every photograph was taken with one camera.,not all the photographs were taken with the same camera,all the photographs were taken with the same camera,every,one,B,inverse,universal,number,unimported,unimported,4
160,161.0,Every article was published in one journal.,all the articles were published in the same journal,not all the articles were published in the same journal,every,one,A,inverse,universal,number,unimported,unimported,4
161,162.0,Every article was published in one journal.,not all the articles were published in the same journal,all the articles were published in the same journal,every,one,B,inverse,universal,number,unimported,unimported,4
162,163.0,All the students submitted their assignments to one portal.,all the assignments were submitted to the same portal,not all the assignments were submitted to the same portal,all,one,A,inverse,universal,number,unimported,unimported,4
163,164.0,All the students submitted their assignments to one portal.,not all the assignments were submitted to the same portal,all the assignments were submitted to the same portal,all,one,B,inverse,universal,number,unimported,unimported,4
164,165.0,Every chapter was printed in one book.,all the chapters were printed in the same book,not all the chapters were printed in the same book,every,one,A,inverse,universal,number,unimported,unimported,4
165,166.0,Every chapter was printed in one book.,not all the chapters were printed in the same book,all the chapters were printed in the same book,every,one,B,inverse,universal,number,unimported,unimported,4
166,167.0,All the files were saved in one folder.,all the files were saved in the same folder,not all the files were saved in the same folder,all,one,A,inverse,universal,number,unimported,unimported,4
167,168.0,All the files were saved in one folder.,not all the files were saved in the same folder,all the files were saved in the same folder,all,one,B,inverse,universal,number,unimported,unimported,4
168,169.0,Every song was recorded in one studio.,all the songs were recorded in the same studio,not all the songs were recorded in the same studio,every,one,A,inverse,universal,number,unimported,unimported,4
169,170.0,Every song was recorded in one studio.,not all the songs were recorded in the same studio,all the songs were recorded in the same studio,every,one,B,inverse,universal,number,unimported,unimported,4
170,171.0,All the keys are kept in one drawer.,all the keys are kept in the same drawer,not all the keys are kept in the same drawer,all,one,A,inverse,universal,number,unimported,unimported,4
171,172.0,All the keys are kept in one drawer.,not all the keys are kept in the same drawer,all the keys are kept in the same drawer,all,one,B,inverse,universal,number,unimported,unimported,4
172,173.0,The photographer captured each image with one camera.,all the images were captured with the same camera,not all the images were captured with the same camera,each,one,A,inverse,universal,number,unimported,unimported,4
173,174.0,The photographer captured each image with one camera.,not all the images were captured with the same camera,all the images were captured with the same camera,each,one,B,inverse,universal,number,unimported,unimported,4
174,175.0,Every letter was delivered to one address.,all the letters were delivered to the same address,not all the letters were delivered to the same address,every,one,A,inverse,universal,number,unimported,unimported,4
175,176.0,Every letter was delivered to one address.,not all the letters were delivered to the same address,all the letters were delivered to the same address,every,one,B,inverse,universal,number,unimported,unimported,4
176,177.0,All the letters were sent from one post office.,all the letters were sent from the same post office,not all the letters were sent from the same post office,all,one,A,inverse,universal,number,unimported,unimported,4
177,178.0,All the letters were sent from one post office.,not all the letters were sent from the same post office,all the letters were sent from the same post office,all,one,B,inverse,universal,number,unimported,unimported,4
178,179.0,Each document was printed from one printer.,all the documents were printed from the same printer,not all the documents were printed from the same printer,each,one,A,inverse,universal,number,unimported,unimported,4
179,180.0,Each document was printed from one printer.,not all the documents were printed from the same printer,all the documents were printed from the same printer,each,one,B,inverse,universal,number,unimported,unimported,4
180,181.0,All the songs were recorded in one session.,all the songs were recorded in the same session,not all the songs were recorded in the same session,all,one,B,inverse,universal,number,unimported,unimported,4
181,182.0,All the songs were recorded in one session.,not all the songs were recorded in the same session,all the songs were recorded in the same session,all,one,A,inverse,universal,number,unimported,unimported,4
182,183.0,All the emails were sent to exactly one address.,all the emails were sent to the same address,not all the emails were sent to the same address,all,exactly one,A,inverse,universal,number,unimported,unimported,4
183,184.0,All the emails were sent to exactly one address.,not all the emails were sent to the same address,all the emails were sent to the same address,all,exactly one,B,inverse,universal,number,unimported,unimported,4
184,185.0,A teacher instructs every student in the class.,"in total, there is exactly one teacher instructing the students","in total, there is more than one teacher instructing the students",a,every,A,surface,indefinite,universal,unimported,unimported,2
185,186.0,A teacher instructs every student in the class.,"in total, there is more than one teacher instructing the students","in total, there is exactly one teacher instructing the students",a,every,B,surface,indefinite,universal,unimported,unimported,2
186,187.0,A doctor examines all the patients in the clinic.,"in total, there is exactly one doctor examining the patients","in total, there is more than one doctor examining the patients",a,all,A,surface,indefinite,universal,unimported,unimported,2
187,188.0,A doctor examines all the patients in the clinic.,"in total, there is more than one doctor examining the patients","in total, there is exactly one doctor examining the patients",a,all,B,surface,indefinite,universal,unimported,unimported,2
188,189.0,A manager oversees every project in the company.,"in total, there is exactly one manager overseeing the projects","in total, there is more than one manager overseeing the projects",a,every,A,surface,indefinite,universal,unimported,unimported,2
189,190.0,A manager oversees every project in the company.,"in total, there is more than one manager overseeing the projects","in total, there is exactly one manager overseeing the projects",a,every,B,surface,indefinite,universal,unimported,unimported,2
190,191.0,A conductor leads all the musicians in the orchestra.,"in total, there is exactly one conductor leading the musicians","in total, there is more than one conductor leading the musicians",a,all,A,surface,indefinite,universal,unimported,unimported,2
191,192.0,A conductor leads all the musicians in the orchestra.,"in total, there is more than one conductor leading the musicians","in total, there is exactly one conductor leading the musicians",a,all,B,surface,indefinite,universal,unimported,unimported,2
192,193.0,A pilot flies every plane in the fleet.,"in total, there is exactly one pilot flying the planes","in total, there is more than one pilot flying the planes",a,every,A,surface,indefinite,universal,unimported,unimported,2
193,194.0,A pilot flies every plane in the fleet.,"in total, there is more than one pilot flying the planes","in total, there is exactly one pilot flying the planes",a,every,B,surface,indefinite,universal,unimported,unimported,2
194,195.0,A nurse attends to all the patients in the ward.,the same nurse attends to all the patients,different nurses attend to different patients,a,all,A,surface,indefinite,universal,unimported,unimported,2
195,196.0,A nurse attends to all the patients in the ward.,different nurses attend to different patients,the same nurse attends to all the patients,a,all,B,surface,indefinite,universal,unimported,unimported,2
196,197.0,A teacher grades every assignment.,"in total, there is exactly one teacher grading the assignments","in total, there is more than one teacher grading the assignments",a,every,A,surface,indefinite,universal,unimported,unimported,2
197,198.0,A teacher grades every assignment.,"in total, there is more than one teacher grading the assignments","in total, there is exactly one teacher grading the assignments",a,every,B,surface,indefinite,universal,unimported,unimported,2
200,201.0,A librarian organizes every book on the shelf.,"in total, there is exactly one librarian organizing the books","in total, there is more than one librarian organizing the books",a,every,A,surface,indefinite,universal,unimported,unimported,2
201,202.0,A librarian organizes every book on the shelf.,"in total, there is more than one librarian organizing the books","in total, there is exactly one librarian organizing the books",a,every,B,surface,indefinite,universal,unimported,unimported,2
204,205.0,A coach trains every athlete on the team.,"in total, there is exactly one coach training the athletes","in total, there is more than one coach training the athletes",a,every,A,surface,indefinite,universal,unimported,unimported,2
205,206.0,A coach trains every athlete on the team.,"in total, there is more than one coach training the athletes","in total, there is exactly one coach training the athletes",a,every,B,surface,indefinite,universal,unimported,unimported,2
206,207.0,A chef cooks every dish in the restaurant.,"in total, there is exactly one chef cooking the dishes","in total, there is more than one chef cooking the dishes",a,every,A,surface,indefinite,universal,unimported,unimported,2
207,208.0,A chef cooks every dish in the restaurant.,"in total, there is more than one chef cooking the dishes","in total, there is exactly one chef cooking the dishes",a,every,B,surface,indefinite,universal,unimported,unimported,2
210,211.0,One artist was featured in all the galleries.,Every gallery featured the same artist,Not every gallery featured the same artist,one,all,A,surface,number,universal,unimported,unimported,2
211,212.0,One artist was featured in all the galleries.,Not every gallery featured the same artist,Every gallery featured the same artist,one,all,B,surface,number,universal,unimported,unimported,2
212,213.0,Three dishes were served at all the events.,All events served the same three dishes,Not all events served the same three dishes,three,all,A,surface,number,universal,unimported,unimported,2
213,214.0,Three dishes were served at all the events.,Not all events served the same three dishes,All events served the same three dishes,three,all,B,surface,number,universal,unimported,unimported,2
214,215.0,Two managers oversaw all the departments.,The same two managers oversaw all the departments,Different managers oversaw different departments,two,all,A,surface,number,universal,unimported,unimported,2
215,216.0,Two managers oversaw all the departments.,Different managers oversaw different departments,The same two managers oversaw all the departments,two,all,B,surface,number,universal,unimported,unimported,2
216,217.0,Three artists performed at all the festivals this year.,The same three artists performed at all the festivals,Different artists performed at different festivals,three,all,A,surface,number,universal,unimported,unimported,2
217,218.0,Three artists performed at all the festivals this year.,Different artists performed at different festivals,The same three artists performed at all the festivals,three,all,B,surface,number,universal,unimported,unimported,2
218,219.0,One manager oversees every department in the company.,The same manager oversees every department,Different managers oversee different departments,one,every,A,surface,number,universal,unimported,unimported,2
219,220.0,One manager oversees every department in the company.,Different managers oversee different departments,The same manager oversees every department,one,every,B,surface,number,universal,unimported,unimported,2
220,221.0,Two directors managed all the projects this quarter.,The same two directors managed all the projects,Different directors managed different projects,two,all,A,surface,number,universal,unimported,unimported,2
221,222.0,Two directors managed all the projects this quarter.,Different directors managed different projects,The same two directors managed all the projects,two,all,B,surface,number,universal,unimported,unimported,2
226,227.0,Five dishes were served at all events.,The same five dishes were served at all events,Different dishes were served at different events,five,all,A,surface,number,universal,unimported,unimported,2
227,228.0,Five dishes were served at all events.,Different dishes were served at different events,The same five dishes were served at all events,five,all,B,surface,number,universal,unimported,unimported,2
232,233.0,Two directors are responsible for every film in the series.,The same two directors are responsible for every film,Different directors are responsible for different films,two,every,A,surface,number,universal,unimported,unimported,2
233,234.0,Two directors are responsible for every film in the series.,Different directors are responsible for different films,The same two directors are responsible for every film,two,every,B,surface,number,universal,unimported,unimported,2
234,235.0,Five volunteers helped at all the events last month.,The same five volunteers helped at all the events,Different volunteers helped at different events,five,all,A,surface,number,universal,unimported,unimported,2
235,236.0,Five volunteers helped at all the events last month.,Different volunteers helped at different events,The same five volunteers helped at all the events,five,all,B,surface,number,universal,unimported,unimported,2
